OperationId,Person,RegAddrKoatuu,OperationCode,OperationName,DateReg,DepCode,DepartmentName,Brand,Model,Vin,MakeYear,Color,Kind,Body,Purpose,Fuel,Capacity,OwnWeight,TotalWeight,NumberRegNew
1,P,3220880905,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,09/07/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,NISSAN,QASHQAI,SJNFBNJ10U2471634,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1997,1310,1960,АІ1954ЕМ
2,P,5610700000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,12/09/2022 00:00:00,12286,ТСЦ 3247,VOLKSWAGEN,GOLF,WVWZZZ1KZCW268678,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1390,1020,1850,АІ2805ОН
3,P,8036600000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,07/02/2022 00:00:00,12294,ТСЦ 8045,RENAULT,FLUENCE,VF1LZBB0647079727,01/01/2012 00:00:00,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1461,1280,1680,КА1560ІЕ
4,P,5610100000,410,ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ,09/13/2022 00:00:00,12337,ТСЦ 5641,NISSAN,TIIDA,3N1FCAC11UK561776,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1598,1268,1715,ВК2037ІВ
5,P,6823987705,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,09/02/2022 00:00:00,12375,ТСЦ 6845,ВАЗ,2107,XTA21070062333807,01/01/2006 00:00:00,ЧЕРВОНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1451,1110,1460,ВХ4979НІ
6,P,8036400000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,01/19/2022 00:00:00,13960,ТСЦ 8048,TOYOTA,LAND CRUISER PRADO 150,JTEBX3FJ20K086739,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,2694,2020,2600,КА0991НА
7,P,5123755300,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11/08/2022 00:00:00,12322,ТСЦ 5142,HONDA,CIVIC,NLAFB8660CW002716,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1798,920,1700,ВН3587РТ
8,P,1211000000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,07/10/2022 00:00:00,12295,ТСЦ 8046,MITSUBISHI,LANCER,JMBSTCY4ABU000242,01/01/2011 00:00:00,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1998,1335,1850,КА7050НІ
9,P,1414100000,440,ПЕРЕРЕЄСТРАЦIЯ ПРИ ВТРАТІ СВIДОЦТВА ПРО РЕЄСТРАЦIЮ,04/14/2022 00:00:00,12294,ТСЦ 8045,KIA,CERATO,KNAFW411BC5611891,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1591,1271,1680,АН5608КІ
10,P,524355300,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),12/23/2022 00:00:00,12232,ТСЦ 0544,PEUGEOT,EXPERT,VF3BYRHZB86227283,01/01/2005 00:00:00,СІРИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1997,1480,2330,АВ4728ІХ
11,P,3220610100,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),09/15/2022 00:00:00,12296,ТСЦ 8047,INFINITI,QX56,JN1JANZ62U0002614,01/01/2011 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,5552,2800,3400,КА9883НО
12,P,510400000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),08/13/2022 00:00:00,12231,ТСЦ 0543,HONDA,PILOT,5KBYF4890CB401547,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,3471,2119,2765,АВ0089ЕІ
13,P,8038000000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,09/02/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,CITROEN,C4,VF7NC5FS9CY546795,01/01/2012 00:00:00,ЧЕРВОНИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1598,1270,1755,КА0704СВ
14,P,2610300000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),07/07/2022 00:00:00,12276,ТСЦ 2641,RENAULT,TRAFIC,VF1FLAHA68Y239128,01/01/2007 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1995,1783,2770,АТ1294НК
15,P,6325155800,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,02/17/2022 00:00:00,13653,ТСЦ 6350,DACIA,LOGAN,UU1LSDAGH39398430,01/01/2008 00:00:00,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1390,1085,1535,АХ8613МА
16,P,4610136900,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),12/31/2022 00:00:00,12307,ТСЦ  4641,FORD,FOCUS,WF0LXXGCBLCG78636,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1596,1520,1825,ВС8697РН
17,P,6810100000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,08/10/2022 00:00:00,12371,ТСЦ 6841,TOYOTA,PRADO,JTEBU25J175080377,01/01/2006 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,3956,2090,2700,ВХ7271НН
18,J,6810100000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,11/25/2022 00:00:00,12371,ТСЦ 6841,CHEVROLET,NIVA,X9L212300B0362893,01/01/2011 00:00:00,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,1690,1380,1860,ВХ8893СХ
19,P,521610100,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,02/23/2022 00:00:00,12233,ТСЦ 0545,NISSAN,PRIMASTAR,VSKF4ABA5UY556905,01/01/2004 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1870,1675,2700,АВ2565ІМ
20,P,7124610100,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),11/26/2022 00:00:00,12295,ТСЦ 8046,MERCEDES-BENZ,S 450,WDD2211841A233000,01/01/2008 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2987,1920,2640,КА1241КН
